relative_path;date;year;series_id;family;regimen_gy;dose_sum_gy;dose2_sum_gy2;n_animals;control_file;control_match;nearest_control;nearest_control_gap_days;duplicate_of;data_quality_note;included_analysis;included_strict;exclusion_reason;sf_eff;sf_time_day;sf_se;sf_ci_low;sf_ci_high;sf_bootstrap_success;aligned_time_points
Новые оцифрованные данные для анализа\15.02.2017_p29.xlsx;2017-02-15;2017;2017-02-15;p_through;29;29.0;841.0;6;control_04.05.2017.xlsx;nearest_available_proxy;control_04.05.2017.xlsx;78;;nearest_date_proxy_control;1;0;;0.07105570195901399;12.0;0.011204587310969677;0.050653972551628464;0.09090698327810863;500;10
Новые оцифрованные данные для анализа\15.02.2017_p32,5.xlsx;2017-02-15;2017;2017-02-15;p_through;32.5;32.5;1056.25;6;control_04.05.2017.xlsx;nearest_available_proxy;control_04.05.2017.xlsx;78;;nearest_date_proxy_control;1;0;;0.03748658877356357;22.0;0.008110106711243903;0.020066322533505924;0.0494029182933395;500;10
Новые оцифрованные данные для анализа\15.02.2017_y32.xlsx;2017-02-15;2017;2017-02-15;y;32;32.0;1024.0;8;control_04.05.2017.xlsx;nearest_available_proxy;control_04.05.2017.xlsx;78;;nearest_date_proxy_control;1;0;;0.036764233592153014;14.0;0.004635231009842924;0.027589855875373024;0.04538763923206093;500;10
Новые оцифрованные данные для анализа\15.02.2017_y36.xlsx;2017-02-15;2017;2017-02-15;y;36;36.0;1296.0;8;control_04.05.2017.xlsx;nearest_available_proxy;control_04.05.2017.xlsx;78;;nearest_date_proxy_control;1;0;;0.023352748034593872;14.0;0.003139359299186509;0.015734807704130303;0.02779843310298964;500;10
Новые оцифрованные данные для анализа\15.10.2019_e32.xlsx;2019-10-15;2019;2019-10-15;e;32;32.0;1024.0;8;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;517;;nearest_date_proxy_control;1;0;;0.03804294969665145;15.0;0.008893772872911243;0.01927751245195949;0.05441537460353581;500;10
Новые оцифрованные данные для анализа\16.03.2023_e47.xlsx;2023-03-16;2023;2023-03-16;e;47;47.0;2209.0;6;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;977;;nearest_date_proxy_control;1;0;;0.07704966051542435;21.0;0.017394740512948544;0.04966698834725576;0.11317104806815818;500;11
Новые оцифрованные данные для анализа\16.05.2018_y32.xlsx;2018-05-16;2018;2018-05-16;y;32;32.0;1024.0;7;control_16.05.2018.xlsx;same_date;control_16.05.2018.xlsx;0;;user_selected_from_duplicate_date_conflict;1;1;;0.012733750780692258;13.0;0.005069435912648001;0.0030369300059231523;0.022743481916813184;500;9
Новые оцифрованные данные для анализа\17.05.2018_e32.xlsx;2018-05-17;2018;2018-05-17;e;32;32.0;1024.0;8;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;1;;nearest_date_proxy_control;1;0;;0.052718488327833816;14.0;0.019247414041195787;0.012246265199625085;0.08564246758850204;500;9
Новые оцифрованные данные для анализа\19.03.2025_e40.xlsx;2025-03-19;2025;2025-03-19;e;40;40.0;1600.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;243;;nearest_date_proxy_control;1;0;;0.036464052283601625;12.0;0.007334091145523007;0.02228346688683029;0.050780541479187;500;11
Новые оцифрованные данные для анализа\19.10.2021_p32.xlsx;2021-10-19;2021;2021-10-19;p_through;32;32.0;1024.0;7;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;1252;;nearest_date_proxy_control;1;0;;0.16220862642251585;15.0;0.022767667399311558;0.1154833692485206;0.2031714846405112;500;8
